MigrationRateIdx,HostPerDemeIdx,SurvivalProbability
1,1,0.0
2,1,0.0001
3,1,0.0002
4,1,0.0003
5,1,0.0002
6,1,0.0001
7,1,0.0003
8,1,0.0001
9,1,0.0002
10,1,0.0002
11,1,0.0001
12,1,0.0
13,1,0.0001
14,1,0.0002
15,1,0.0
16,1,0.0002
17,1,0.0001
18,1,0.0001
19,1,0.0002
20,1,0.0002
21,1,0.0004
22,1,0.0007
23,1,0.0003
24,1,0.0006
25,1,0.0005
26,1,0.0005
27,1,0.0005
28,1,0.0002
29,1,0.0005
30,1,0.0005
31,1,0.0004
32,1,0.0004
33,1,0.0004
34,1,0.0003
35,1,0.0001
36,1,0.0
37,1,0.0006
38,1,0.0
39,1,0.0006
40,1,0.0003
1,2,0.0004
2,2,0.0005
3,2,0.0004
4,2,0.0006
5,2,0.0009
6,2,0.0007
7,2,0.0006
8,2,0.0012
9,2,0.0008
10,2,0.0012
11,2,0.0013
12,2,0.0012
13,2,0.0014
14,2,0.0013
15,2,0.0023
16,2,0.0025
17,2,0.0026
18,2,0.003
19,2,0.0019
20,2,0.0032
21,2,0.0027
22,2,0.0023
23,2,0.0028
24,2,0.0028
25,2,0.004
26,2,0.0027
27,2,0.0033
28,2,0.003
29,2,0.0022
30,2,0.0021
31,2,0.0021
32,2,0.0024
33,2,0.0023
34,2,0.0021
35,2,0.0014
36,2,0.0021
37,2,0.0031
38,2,0.0024
39,2,0.0024
40,2,0.0021
1,3,0.0034
2,3,0.0047
3,3,0.0025
4,3,0.0041
5,3,0.0053
6,3,0.0044
7,3,0.0079
8,3,0.0081
9,3,0.0083
10,3,0.0086
11,3,0.0105
12,3,0.0111
13,3,0.0136
14,3,0.0118
15,3,0.0144
16,3,0.0139
17,3,0.0137
18,3,0.0162
19,3,0.0147
20,3,0.0133
21,3,0.0132
22,3,0.0144
23,3,0.0128
24,3,0.0137
25,3,0.0132
26,3,0.0156
27,3,0.0133
28,3,0.0128
29,3,0.0113
30,3,0.0109
31,3,0.0127
32,3,0.0104
33,3,0.011
34,3,0.0116
35,3,0.0087
36,3,0.0112
37,3,0.0093
38,3,0.0084
39,3,0.0079
40,3,0.0086
1,4,0.0214
2,4,0.0282
3,4,0.0312
4,4,0.0338
5,4,0.0388
6,4,0.045
7,4,0.0546
8,4,0.0523
9,4,0.0559
10,4,0.0628
11,4,0.0647
12,4,0.0584
13,4,0.0661
14,4,0.0684
15,4,0.0629
16,4,0.0678
17,4,0.0686
18,4,0.0604
19,4,0.0607
20,4,0.063
21,4,0.0581
22,4,0.0604
23,4,0.0608
24,4,0.0583
25,4,0.0559
26,4,0.0519
27,4,0.0542
28,4,0.0509
29,4,0.049
30,4,0.0451
31,4,0.0466
32,4,0.0441
33,4,0.0426
34,4,0.0391
35,4,0.0375
36,4,0.0393
37,4,0.0394
38,4,0.0371
39,4,0.0364
40,4,0.0334
1,5,0.1656
2,5,0.1759
3,5,0.1958
4,5,0.2142
5,5,0.2207
6,5,0.2284
7,5,0.2462
8,5,0.2424
9,5,0.2546
10,5,0.2496
11,5,0.2447
12,5,0.2471
13,5,0.2525
14,5,0.2529
15,5,0.2479
16,5,0.2474
17,5,0.2435
18,5,0.2401
19,5,0.2448
20,5,0.2375
21,5,0.2286
22,5,0.2258
23,5,0.2178
24,5,0.2157
25,5,0.2081
26,5,0.2057
27,5,0.1983
28,5,0.1915
29,5,0.1843
30,5,0.1837
31,5,0.1765
32,5,0.1729
33,5,0.1783
34,5,0.1605
35,5,0.162
36,5,0.1559
37,5,0.1465
38,5,0.146
39,5,0.1357
40,5,0.1371
1,6,0.6153
2,6,0.6275
3,6,0.647
4,6,0.6476
5,6,0.6636
6,6,0.6676
7,6,0.6805
8,6,0.6625
9,6,0.6763
10,6,0.6757
11,6,0.6801
12,6,0.6783
13,6,0.6762
14,6,0.6767
15,6,0.6766
16,6,0.6615
17,6,0.6691
18,6,0.6498
19,6,0.6511
20,6,0.6407
21,6,0.6293
22,6,0.6298
23,6,0.6191
24,6,0.6109
25,6,0.6089
26,6,0.5891
27,6,0.5838
28,6,0.5735
29,6,0.5609
30,6,0.5442
31,6,0.5451
32,6,0.5312
33,6,0.516
34,6,0.515
35,6,0.5028
36,6,0.4924
37,6,0.4814
38,6,0.4708
39,6,0.4596
40,6,0.4455
