MigrationRateIdx,MutationRateIdx,SurvivalProbability
1,1,0.0
1,2,0.0
1,3,0.0006
1,4,0.0168
1,5,0.1115
1,6,0.3888
1,7,0.7321
1,8,0.9386
1,9,0.9961
1,10,0.9999
2,1,0.0
2,2,0.0
2,3,0.0032
2,4,0.0425
2,5,0.2307
2,6,0.6291
2,7,0.9131
2,8,0.9886
2,9,0.9995
2,10,1.0
3,1,0.0
3,2,0.0
3,3,0.0042
3,4,0.0681
3,5,0.3432
3,6,0.777
3,7,0.9759
3,8,0.9997
3,9,1.0
3,10,1.0
4,1,0.0
4,2,0.0
4,3,0.0033
4,4,0.0686
4,5,0.3712
4,6,0.8042
4,7,0.986
4,8,1.0
4,9,1.0
4,10,1.0
5,1,0.0
5,2,0.0
5,3,0.003
5,4,0.0627
5,5,0.3455
5,6,0.7881
5,7,0.985
5,8,0.9997
5,9,1.0
5,10,1.0
6,1,0.0
6,2,0.0
6,3,0.0022
6,4,0.0442
6,5,0.2926
6,6,0.7427
6,7,0.9773
6,8,0.9997
6,9,1.0
6,10,1.0
7,1,0.0
7,2,0.0
7,3,0.0022
7,4,0.0364
7,5,0.2432
7,6,0.6835
7,7,0.9643
7,8,0.9994
7,9,1.0
7,10,1.0
8,1,0.0
8,2,0.0
8,3,0.0008
8,4,0.0286
8,5,0.2031
8,6,0.616
8,7,0.9391
8,8,0.9986
8,9,1.0
8,10,1.0
9,1,0.0
9,2,0.0
9,3,0.0011
9,4,0.0223
9,5,0.1642
9,6,0.5514
9,7,0.9175
9,8,0.9975
9,9,1.0
9,10,1.0
10,1,0.0
10,2,0.0
10,3,0.0009
10,4,0.0208
10,5,0.1668
10,6,0.5304
10,7,0.9087
10,8,0.9956
10,9,1.0
10,10,1.0
