OutbreakDeme,SurvivalProbability
1,0.13488651134886512
2,0.1571842815718428
3,0.1621837816218378
4,0.1568843115688431
5,0.15748425157484253
6,0.1382861713828617
7,0.142985701429857
8,0.14808519148085192
9,0.1483851614838516
10,0.16548345165483452
11,0.17818218178182182
12,0.16698330166983302
13,0.1616838316168383
14,0.16478352164783522
15,0.15448455154484553
16,0.13838616138386162
17,0.1553844615538446
18,0.15348465153484653
19,0.1451854814518548
20,0.1533846615338466
21,0.15498450154984503
22,0.15748425157484253
23,0.15528447155284472
24,0.14278572142785723
25,0.14028597140285973
26,0.1546845315468453
27,0.17268273172682733
28,0.13978602139786023
29,0.14878512148785122
30,0.14108589141085892
