OutbreakDeme,SurvivalProbability
1,0.16798320167983202
2,0.1528847115288471
3,0.12808719128087193
4,0.1321867813218678
5,0.15848415158484153
6,0.1536846315368463
7,0.14808519148085192
8,0.1488851114888511
9,0.1760823917608239
10,0.13508649135086492
11,0.1337866213378662
12,0.15298470152984703
13,0.14478552144785523
14,0.1523847615238476
15,0.12428757124287572
16,0.15208479152084792
17,0.1531846815318468
18,0.1523847615238476
19,0.15578442155784422
20,0.16648335166483352
21,0.15678432156784322
22,0.143985601439856
23,0.15058494150584942
24,0.1775822417758224
25,0.1581841815818418
26,0.14328567143285673
27,0.13988601139886012
28,0.14828517148285172
29,0.1334866513348665
30,0.15548445155484453
