Origin,AMS,ATL,BKK,BOM,CAN,CDG,CGK,CTU,DEL,DEN,DXB,FCO,FRA,GRU,HKG,HND,ICN,IST,JFK,KUL,LAX,LHR,MAD,MNL,MUC,PEK,PVG,SFO,SHA,SIN
AMS,0.0,149482.15771,190450.35167,89757.0,2552.7948258,179444.55427,1161.5484574,42272.0,91847.359216,1315.2131655,195914.20507,265973.0881,114405.38644,47736.881799,202192.12627,131.19510059,112397.0,184333.80392,143718.96664,91241.816167,101692.0,277285.43685,255918.99534,73382.701387,185700.57474,206660.0,170692.0,117843.44202,94.851203939,144559.3125
ATL,140723.17928,0.0,2856.0977569,1385.0726535,860.40136843,189861.80526,251.24917001,200.28816326,1397.961338,794270.02718,100650.0,96488.0,101235.47874,55088.559925,2245.8442383,37.346848292,141840.0,2700.8080293,223442.70091,631.66293219,656069.93028,171550.0,70638.0,573.42601388,87506.0,6488.6079945,2694.7683715,491326.0,0.0,2662.2276108
BKK,195139.58441,3266.6359979,0.0,354599.0,522445.0,220838.96343,230269.0,42905.0,396046.44813,287.33344116,284951.75083,72265.0,147996.84843,1112.9495842,447604.19251,821.04899913,511378.78174,105705.0,3946.7710971,312298.08501,65145.0,294171.37728,50570.0,392220.01661,128849.0,290003.0,352779.0,3089.2106712,3374.2681825,574536.3663
BOM,89757.0,1714.8477118,351024.0,0.0,6043.9916619,92799.0,449.73864326,3528.6006471,3415648.0,258.81286315,248338.16228,2665.2125279,132982.40412,857.480225,271658.0,278.04044942,42576.0,91565.0,86870.0,102930.0,2557.323893,256711.78775,1413.5317008,5690.0194064,59228.0,8124.3870643,6710.3836097,1243.2070449,4.7582743397,427128.52899
CAN,2764.5663217,943.00208845,491638.94046,4882.2027602,0.0,88436.0,99434.0,865435.0,41800.0,100.2292816,190940.0,1568.5663965,33762.0,170.75057043,0.0,462.0870904,237982.0,2273.3493116,1299.0458245,218576.6703,61028.0,2570.2898787,1308.1866818,50302.0,1884.8121471,1343158.9399,163628.0,1499.702713,543160.75829,289948.0
CDG,181990.1344,200136.0829,193728.65569,92850.0,88144.0,0.0,1117.0024221,1783.6566466,137856.0,1116.625354,175191.39429,261203.92167,201260.53409,49692.852269,144179.02108,55.534427413,144971.56628,248699.43611,262427.13851,83736.708562,255413.59693,311778.78554,266444.38775,2537.421071,220881.61862,287340.0,193404.4957,133602.0,66.359659591,162439.52241
CGK,1186.7846372,282.89119547,230269.0,5578.6461916,99592.0,1416.9065901,0.0,9052.5233954,5423.9895638,1.1125321769,102099.13805,790.22799828,803.13643725,159.21793364,279656.02813,413.43444295,165175.0,1858.6712956,1063.0091506,253377.10202,2315.6524767,1972.770016,638.34140229,48336.0,919.40079596,38052.0,37296.0,1136.4323325,1773.5098887,533552.10563
CTU,42272.0,256.33747895,42905.0,3528.6006471,865947.0,2579.7083717,9052.5233954,0.0,4251.7599428,1.5718032337,3558.4867022,1195.9906126,1823.0448641,81.845500602,230530.0,830.77015316,18544.0,2474.6067941,531.63318953,79664.0,1438.7238994,2894.337231,532.49370268,5690.0194064,1552.6167704,1889786.0,949444.0,602.05136251,23942.0,65062.0
DEL,97984.410964,1881.7685985,433770.27954,3563367.0,41800.0,137856.0,1033.5339975,4249.9122403,0.0,520.99173668,283307.67233,48828.0,146011.18511,1287.4000493,291645.0,683.03533867,45240.0,91439.0,79247.045021,107310.0,3584.1437529,281439.83916,1413.5317008,5690.0194064,86190.0,68330.0,104763.0,1674.2279201,1317.0372806,302395.0
DEN,1308.6365401,831240.82539,227.83223123,184.07739977,88.250520578,1100.6485264,0.0,1.388329075,323.89409442,0.0,231.86380796,458.20740408,42667.079513,230.1778944,301.50243597,0.0,477.02738433,204.95587481,106700.0,59.183054921,505605.16069,96536.378562,959.82833686,103.94271092,564.69319551,1093.1918888,479.17081371,596101.66376,0.0,316.26920109
DXB,188367.6818,100650.0,247680.38211,221280.83923,176684.47293,173586.07505,80870.359819,2400.2489223,236520.10224,229.47854361,0.0,176835.72007,119589.18425,26867.329167,156621.47535,76.285254284,130601.65289,151808.93184,131605.91234,104711.79637,97090.0,223797.99594,38121.0,89133.609051,158360.93151,343288.22949,187793.69289,83951.181462,148.43813832,198328.98682
FCO,271116.59384,96518.0,67297.0,2651.8461696,1591.5063298,261813.26181,753.67034922,917.65072741,48828.0,454.13073874,179781.52156,0.0,196285.26475,42657.803037,104755.0,41.205710383,52595.0,216941.0,208839.37213,44556.0,30846.0,326728.4028,292193.44437,1317.1081991,199725.89749,87600.0,3007.5435062,1941.8839182,27.902766244,43282.0
FRA,115028.32063,105175.34358,129816.82203,112065.96605,33983.0,202134.12202,706.63043202,1293.5443287,113926.27383,45098.049489,120684.12059,196678.44291,0.0,30612.509901,96437.63032,30.501252895,96724.493778,229576.62715,127907.97886,55842.423917,136696.4007,255135.06855,190086.41715,1831.6277913,194707.73335,243036.86789,129182.43044,76633.854173,36.731344017,108209.1934
GRU,46477.209598,57847.629464,1140.8792173,788.44955985,194.36587136,54715.659514,150.7041086,72.112709348,1034.7153787,297.57661621,29856.582487,46627.166769,33709.810472,0.0,581.99220995,0.0,548.75948074,32249.0,74757.224745,304.11702049,68142.0,73422.737009,65983.078526,130.08693006,41978.930366,1643.0911822,698.3749903,743.83379059,0.0,1362.7664001
HKG,198180.20188,2447.5994415,443037.24846,271658.0,0.0,151981.94266,215138.83982,230530.0,291389.0,349.42657577,166624.59821,104755.0,101666.08693,521.73153853,0.0,125999.44187,286763.1727,64814.0,188741.67865,204597.54323,264767.08119,204243.73646,3249.3149613,263830.30138,104652.0,623403.80137,416142.93389,151540.52208,1370.973121,395162.22609
HND,173.69941116,47.964601166,975.08366761,285.48779699,702.08783972,77.244162949,389.56341709,942.06019781,610.61801199,0.0,113.41309365,46.776967444,41.471914087,0.0,163773.0,0.0,6500.0,108.63041791,146.20510213,292.18070797,297.62510368,90.955481893,68.516316807,1448.5246728,52.895239756,324663.0,813.94949857,268.01897966,256333.44318,1277.2618802
ICN,131494.0,142141.0,468031.50463,42872.0,237820.0,151250.58036,146491.47833,18544.0,45240.0,504.88983767,137518.38952,2424.4145129,100923.04446,428.52580814,270052.15362,6500.0,0.0,119304.0,169185.58781,169486.0,270119.03782,186551.0,3000.6651504,186685.42127,65416.0,492653.35248,342308.45656,155800.98287,666.01342282,355350.46922
IST,187818.77632,2910.096692,105664.0,91544.0,2213.665408,257907.2265,1708.6303621,1865.1388318,91418.0,226.66450656,149768.34571,216770.0,234819.65084,32520.0,65126.0,85.186318828,119304.0,0.0,148502.19397,43992.0,2833.6863967,296067.2151,174951.0,2491.1689176,241678.8664,67978.0,68001.0,1324.8034169,59.492834319,65796.0
JFK,158270.21086,236936.71185,3949.5589173,86870.0,1058.3982151,259473.01337,713.46317547,287.29626905,51392.431156,106842.0,132278.62798,215130.69242,130921.42764,66179.269161,190061.93886,103.64734195,171152.50942,133532.22576,0.0,1030.1090661,234402.58518,568356.1507,196594.54991,774.13814183,81413.0,111134.0,89650.0,236108.96136,32.830922448,3015.0827655
KUL,90506.436316,700.46574464,309678.55394,102930.0,235077.66757,91318.383387,206195.53251,79664.0,107310.0,71.818726438,115248.644,44274.0,60904.060551,285.46039308,211898.27397,241.2704419,169782.0,43992.0,1422.5124554,0.0,2152.7245959,121433.61468,1526.1859511,179345.75954,2203.3333858,150898.0,225102.0,991.26453383,1476.3400719,261276.27961
LAX,101692.0,656414.17306,64930.0,2078.5325885,61028.0,254095.81682,1742.6571191,1119.0454345,2674.1143213,513281.44007,97090.0,30264.0,137943.29574,68443.0,263315.70403,210.74348805,260321.75704,2657.3544189,212089.37839,1857.3801242,0.0,461395.28625,3660.8010004,2142.6530297,104958.0,111748.0,118990.0,557415.35611,171.57584891,26100.0
LHR,294440.78125,171550.0,258700.32458,216891.94542,2397.7994878,332521.93929,1617.9370017,2089.9651536,220161.50989,102299.59122,226429.22167,347655.16429,270933.61327,66848.436095,194239.35304,64.333254618,186551.0,296091.85379,535171.03531,111628.47435,456240.03598,0.0,464963.89044,2732.2356601,295664.37433,164051.0,212548.0,255372.53718,53.88746507,216703.27353
MAD,258281.01434,70670.0,50570.0,1413.5317008,1351.5537346,268014.64469,757.00001666,536.04473213,1413.5317008,1009.7983417,38121.0,289454.69572,193650.06375,66401.687257,3255.8285117,93.445505852,27993.0,183273.0,175562.6696,1383.6401238,4011.0771716,447831.64318,0.0,876.48238936,262282.22533,38400.0,3759.7588165,1874.2906914,67.671634748,4334.086481
MNL,76804.524058,916.96809463,429786.95632,5693.8720626,50302.0,3958.9993179,48642.0,5693.8720626,5693.8720626,269.71425117,110927.72352,1944.1621779,2765.7125593,205.83242458,288707.69995,1252.324056,228912.91663,3295.4130854,1577.6796677,194407.0,111066.87971,4115.9531522,808.3959085,0.0,2206.1209152,55746.0,113730.0,63451.586297,1949.4757087,403743.36896
MUC,186963.38821,87506.0,128849.0,59228.0,1537.3083987,213376.67733,476.78586236,980.20374524,86190.0,523.09771629,155513.75879,192490.72356,193802.086,37096.807834,104958.0,35.412200801,65637.0,227267.98881,81413.0,1681.9387019,104346.0,267801.2663,259314.44642,1216.7115962,0.0,118186.0,109769.0,109242.0,30.367209846,119202.0
PEK,206382.0,7208.6381961,290003.0,8113.4581007,1381378.0589,287125.0,38304.0,1889954.0,68555.0,1283.8681819,351659.0,87600.0,266647.00663,1492.6243151,605525.8419,324663.0,511976.37973,67707.0,111134.0,155958.0,111748.0,164275.0,38160.0,55746.0,117965.0,0.0,769977.0,211824.0,1105606.5884,508751.0
PVG,170692.0,2989.0163823,347379.0,6710.3836097,163628.0,213347.31153,26208.0,939400.0,105063.0,559.16645797,209073.74441,3330.6946425,142516.03117,630.38264041,406277.26855,504.98657929,357555.01532,67730.0,89650.0,225102.0,118990.0,212324.0,3768.9028465,113759.0,109463.0,769753.0,0.0,126418.0,0.0,623306.26751
SFO,110065.28493,491326.0,2626.785938,1025.9098783,1295.855571,133602.0,846.93795468,475.95124612,1268.6049835,599856.34368,83637.958379,1920.5152219,75414.698259,655.2313565,146926.77635,193.11273363,146364.44151,1261.8498265,210951.91725,855.56888878,561198.85161,251858.03295,1719.3480704,1006.2968881,109242.0,212056.0,126650.0,0.0,65.31080575,2607.2858274
SHA,107.86458113,0.0,3052.1872352,4.1649504474,641074.21683,77.675080185,1504.5295017,23942.0,1000.3398438,0.0,186.84857863,34.118286048,42.041733357,0.0,1451.5680353,210715.89334,828.87364494,63.925352739,44.81734509,1523.1451895,206.60158905,64.058183087,79.431572704,1745.4711608,38.173709123,1294816.1112,0.0,76.653878487,0.0,5436.318379
SIN,149112.12842,3183.2867908,601790.11787,429634.02227,289948.0,193870.87535,440882.98112,65062.0,302395.0,433.61791938,238893.8371,43282.0,129159.00359,1445.2286049,441006.74512,1154.3034738,406502.80042,65817.0,4671.6557471,275985.1425,26100.0,257993.01282,4906.9706715,390203.39905,119287.0,508751.0,674375.44975,3207.5838984,5771.1007582,0.0
