OutbreakDeme,SurvivalProbability
1,0.1264873512648735
2,0.22657734226577342
3,0.16678332166783322
4,0.22077792220777923
5,0.1927807219278072
6,0.18388161183881613
7,0.22257774222577742
8,0.2081791820817918
9,0.20837916208379162
10,0.27007299270072993
11,0.1367863213678632
12,0.19268073192680732
13,0.15548445155484453
14,0.3214678532146785
15,0.13738626137386262
16,0.2903709629037096
17,0.1342865713428657
18,0.21737826217378262
19,0.2116788321167883
20,0.18098190180981902
21,0.2096790320967903
22,0.18148185181481852
23,0.2151784821517848
24,0.22007799220077992
25,0.16878312168783122
26,0.14778522147785222
27,0.19218078192180782
28,0.19258074192580743
29,0.270972902709729
30,0.1478852114788521
