AirportCode,SurvivalProbability
AMS,0.1264873512648735
LHR,0.18148185181481852
PEK,0.14778522147785222
HKG,0.13738626137386262
BKK,0.16678332166783322
PVG,0.19218078192180782
CDG,0.18388161183881613
ATL,0.22657734226577342
SIN,0.1478852114788521
CTU,0.2081791820817918
LAX,0.2096790320967903
DEL,0.20837916208379162
BOM,0.22077792220777923
DEN,0.27007299270072993
CAN,0.1927807219278072
KUL,0.18098190180981902
MNL,0.22007799220077992
GRU,0.3214678532146785
CGK,0.22257774222577742
HND,0.2903709629037096
SFO,0.19258074192580743
MUC,0.16878312168783122
MAD,0.2151784821517848
JFK,0.2116788321167883
IST,0.21737826217378262
ICN,0.1342865713428657
DXB,0.1367863213678632
FCO,0.19268073192680732
FRA,0.15548445155484453
