OutbreakDeme,SurvivalProbability
1,0.16418358164183583
2,0.17298270172982702
3,0.1483851614838516
4,0.16778322167783222
5,0.14608539146085392
6,0.15308469153084692
7,0.1558844115588441
8,0.15948405159484053
9,0.15128487151284872
10,0.1411858814118588
11,0.14928507149285072
12,0.14358564143585642
13,0.1536846315368463
14,0.1548845115488451
15,0.16598340165983402
16,0.14188581141885812
17,0.15008499150084992
18,0.14538546145385461
19,0.15928407159284072
20,0.147985201479852
21,0.18568143185681432
22,0.1414858514148585
23,0.1521847815218478
24,0.1506849315068493
25,0.14478552144785523
26,0.12988701129887012
27,0.16868313168683133
28,0.13938606139386062
29,0.14278572142785723
30,0.143985601439856
